#PSR      	  P           DM       Gl       Gb       Notes
#             (ms)     (pc/cc)     (◦)      (◦)
J1940+26      4.81353  171.64      61.432   1.780    *
J1943+2210    5.08417  174.089     58.439   -0.730   *
J1944+0907    5.1852   24.3505     47.160   -7.357   *
J1944+2236    3.61799  185.450     58.900   -0.663   *
J1946+2052    16.9602  93.965      57.657   -1.975   *
J1946+3417    3.17014  110.178388  69.294   4.713    GRS:[sbc+19]
J1946-5403    2.71     23.7314     343.885  -29.580  GRS:4FGL_J1946.5-5402[aab+22]
J1947-18      2.60323  25          21.541   -20.617  *
J1947+2011g   8.17     127.4       57.242   -2.635   *
J1949+3106    13.1382  164.12669   66.858   2.554    *
J1950+2414    4.30478  142.0842    61.098   -1.169   GRS:4FGL_J1950.6+2416[aab+22]
J1952+2702g   4.14     213.1       63.669   -0.046   *
J1952+2836g   18.02    313.0       65.071   0.662    *
J1953+1844g   4.44     113.1       56.701   -4.579   *
J1955+2527    4.87277  209.961     62.740   -1.571   *
B1953+29      6.13317  104.4906    65.839   0.443    *
J1955+6708    8.56541  57.1478     99.682   18.938   *
J1957+2516    3.96166  44.137      62.769   -1.973   GRS:4FGL_J1957.3+2517[aab+22]
B1957+20      1.6074   29.1066     59.197   -4.697   GRS:4FGL_J1959.5+2048[aab+22],XRS:[hb07a]
J2001+0701    6.81996  63.3146     47.494   -12.201  *
J2006+0148    2.16356  43.5786     43.395   -15.763  GRS:4FGL_J2006.4+0147[aab+22]
J2010-1323    5.22327  22.1619     29.446   -23.540  *
J2010+3051    4.81627  133.756     68.967   -1.326   *
J2015+0756    4.32798  36.436      50.126   -14.765  *
J2017+0603    2.89622  23.92344    48.621   -16.026  GRS:4FGL_J2017.4+0602[aab+22],XRS:[pb15]
J2017-1614    2.31429  25.4380     27.314   -26.220  GRS:4FGL_J2017.7-1612[aab+22]
J2019+2425    3.93452  17.201      64.746   -6.624   *
J2022+2534    2.65     53.660      65.545   -6.765   *
J2023+2853g   11.33    22.8        68.911   -4.811   *
J2027+0255    10.5955  51.132      47.131   -19.786  *
J2033+1734    5.94896  25.0864     60.857   -13.154  *
J2039-3616    3.27     23.9633     6.331    -36.517  GRS:4FGL_J2039.4-3616[aab+22]
J2039-5617    2.65091  24.57       341.265  -37.145  GRS:4FGL_J2039.5-5617[aab+22]
J2042+0246    4.53373  9.2694      48.993   -23.016  GRS:4FGL_J2042.2+0245[aab+22]
J2043+1711    2.37988  20.712      61.919   -15.313  GRS:4FGL_J2043.3+1711[aab+22]
